session_id,target
1,0.002219763633118155
2,2.5189622889104814e-09
3,6.16027591316614e-09
4,1.3226896973371753e-08
5,2.7290669495116885e-05
6,0.0001511804779874297
7,0.0004423787006293781
8,0.00010124507808079282
9,0.000777456104888857
10,0.1049507797301926
11,2.379849219836712e-05
12,9.552426247608251e-05
13,0.0002867394565758429
14,0.3589886514963917
15,3.4710616589399165e-05
16,0.003831270288398237
17,0.015419834839501063
18,2.8327978412320948e-05
19,0.0007842943275254884
20,1.1894668592417604e-07
21,0.06464332713554276
22,6.363765551319071e-08
23,2.9080356477728744e-05
24,0.00033666229582512047
25,0.07077661050707634
26,2.270789650821221e-09
27,0.0005341220752861897
28,2.1341370907605867e-07
29,0.014157897425495523
30,5.522762402061487e-05
31,0.014150004560961096
32,0.045224740667519574
33,0.0005506919513722654
34,6.789637434026663e-08
35,0.01434149245561971
36,0.00033227066490070124
37,6.7478648122851055e-09
38,8.104813723907352e-09
39,5.522762402061487e-05
40,2.5388247437869756e-05
41,0.0003973208805848316
42,0.0012786209866800572
43,1.6095763293547e-06
44,1.4029316242602073e-05
45,0.23962827197971473
46,5.287002997906905e-06
47,0.008978645406605135
48,0.0006109847855566568
49,2.4468604958370413e-05
50,7.637561843659977e-06
51,6.466768094115387e-08
52,5.8728404552513255e-06
53,0.03734529123914936
54,5.789659044035175e-05
55,5.084232985303264e-06
56,0.001853764524933909
57,7.746425357817014e-07
58,1.1019917783280976e-05
59,6.986893297739555e-06
60,5.2529670403055055e-06
61,6.030569928103192e-06
62,0.0012781998922603806
63,6.476277758336999e-06
64,2.8501298232343894e-05
65,3.162126385901053e-06
66,6.475212476220783e-08
67,0.00018030329650656486
68,0.00014303572587617824
69,0.09094040822297828
70,0.00010745637516964189
71,0.000159172613158945
72,6.986893297739555e-06
73,0.02994015846663507
74,2.5189622889104814e-09
75,3.198102000887226e-05
76,0.00032221175098579735
77,0.00013425737879097204
78,0.001423768943196128
79,5.7469444101442175e-06
80,0.00012341526019391967
81,1.796595311889695e-05
82,2.907860645007255e-05
83,2.454127199333176e-08
84,0.2585036108680723
85,9.344299120893535e-06
86,2.931303770181495e-07
87,0.001048491772299458
88,0.0006441715421100618
89,0.00023634869034228144
90,0.01748650425996775
91,0.00011242539276985963
92,8.399757970325563e-06
93,0.03333347492920173
94,0.0007733448124768872
95,0.03986597034937574
96,1.625769768272488e-08
97,8.648157345752925e-05
98,5.2767821731998735e-05
99,1.6661994979652927e-05
100,8.745090786216469e-05
101,0.000435460035220344
